종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
엘앤에프,"144,200","하락 1,100",-0.76%,"1,023,516","148,566","58,144"
LG디스플레이,"11,520",하락 230,-1.96%,"2,580,341","30,086","57,600"
두산밥캣,"60,000","하락 1,700",-2.76%,"212,131","12,969","57,514"
BNK금융지주,"18,450",보합 0,0.00%,"501,820","9,309","57,255"
JB금융지주,"29,950",상승 300,+1.01%,"250,288","7,542","56,382"
두산로보틱스,"85,000","하락 3,800",-4.28%,"123,370","10,657","55,097"
대한전선,"29,100","하락 1,200",-3.96%,"1,722,018","51,076","54,256"
오리온,"132,100","하락 2,000",-1.49%,"129,049","17,121","52,227"
코웨이,"73,200",하락 900,-1.21%,"152,609","11,210","51,802"
산일전기,"167,600","상승 1,800",+1.09%,"570,408","98,710","51,194"
에코프로머티,"69,950",하락 450,-0.64%,"1,892,723","135,105","49,356"
엔씨소프트,"224,500","하락 3,000",-1.32%,"86,815","19,652","48,366"
현대제철,"34,850",하락 850,-2.38%,"502,132","17,753","46,506"
KCC,"523,000","하락 10,000",-1.88%,"18,939","9,876","46,476"
포스코DX,"30,350","하락 1,150",-3.65%,"321,568","9,886","46,143"
넷마블,"51,500",상승 100,+0.19%,"169,237","8,801","42,210"
한화생명,"4,727",하락 243,-4.89%,"5,356,575","25,875","41,055"
한화엔진,"49,050",상승 300,+0.62%,"936,741","47,875","40,931"
한온시스템,"3,890",하락 165,-4.07%,"5,194,251","20,440","39,922"
강원랜드,"18,240",상승 100,+0.55%,"708,817","12,932","39,023"
SKC,"98,000","하락 4,100",-4.02%,"115,035","11,468","37,111"
LG생활건강,"241,500","하락 5,000",-2.03%,"28,650","6,956","36,955"
영원무역,"81,000",하락 800,-0.98%,"37,008","3,030","35,892"
OCI홀딩스,"184,500","상승 1,700",+0.93%,"221,502","41,831","34,447"
롯데케미칼,"80,400",상승 600,+0.75%,"256,003","20,796","34,391"
현대엘리베이터,"86,700","하락 1,300",-1.48%,"135,774","11,846","33,893"
한올바이오파마,"64,300","상승 6,400",+11.05%,"1,355,328","86,242","33,591"
SK바이오사이언스,"42,650",하락 150,-0.35%,"66,329","2,850","33,452"
에스원,"87,200",상승 300,+0.35%,"40,911","3,580","33,135"
금호석유화학,"127,100","하락 2,900",-2.23%,"68,312","8,781","33,086"
한국가스공사,"35,700",하락 300,-0.83%,"138,970","4,989","32,956"
CJ제일제당,"215,000","하락 4,000",-1.83%,"27,117","5,899","32,366"
롯데쇼핑,"114,100","상승 2,800",+2.52%,"169,870","19,512","32,277"
롯데지주,"30,500",하락 600,-1.93%,"265,789","8,148","31,997"
한솔케미칼,"281,000","하락 1,500",-0.53%,"38,311","10,933","31,950"
신세계,"329,500","하락 7,500",-2.23%,"23,506","7,801","31,781"
영원무역홀딩스,"217,000","하락 3,500",-1.59%,"10,096","2,236","29,293"
현대해상,"31,150","하락 1,000",-3.11%,"429,914","13,438","27,848"
이수스페셜티케미컬,"91,600",상승 600,+0.66%,"313,126","29,316","27,680"
에스엘,"59,100","하락 1,900",-3.11%,"121,221","7,174","27,451"
iM금융지주,"17,020",상승 40,+0.24%,"433,858","7,443","27,338"
한전KPS,"60,600","하락 2,200",-3.50%,"173,491","10,611","27,270"
동서,"27,100",하락 100,-0.37%,"61,849","1,677","27,019"
이마트,"97,800",하락 700,-0.71%,"137,836","13,459","26,989"
팬오션,"4,980",하락 100,-1.97%,"2,972,922","14,817","26,622"
HD현대마린엔진,"78,400",상승 900,+1.16%,"502,306","40,879","26,594"
풍산,"93,500","하락 4,700",-4.79%,"208,496","19,853","26,203"
씨에스윈드,"62,000","하락 1,300",-2.05%,"574,097","36,314","26,146"
한미사이언스,"37,700",보합 0,0.00%,"105,834","4,019","25,784"
DL이앤씨,"66,400","하락 2,900",-4.18%,"1,555,030","103,535","25,693"
한국앤컴퍼니,"26,750",하락 850,-3.08%,"81,777","2,198","25,395"
세아베스틸지주,"69,900","하락 2,600",-3.59%,"223,324","15,783","25,068"
CJ대한통운,"107,700","하락 4,400",-3.93%,"65,399","7,090","24,569"
HL만도,"51,300","하락 1,100",-2.10%,"163,680","8,438","24,089"
DN오토모티브,"41,150","상승 1,950",+4.97%,"404,222","16,344","24,077"
F&F,"62,100",하락 700,-1.11%,"58,571","3,621","23,789"
제일기획,"19,760",하락 290,-1.45%,"508,313","10,105","22,732"
농심,"373,000","하락 5,500",-1.45%,"17,946","6,721","22,688"
GS건설,"26,200","하락 1,200",-4.38%,"1,697,175","44,911","22,422"
코오롱인더,"80,200","상승 1,400",+1.78%,"629,451","51,643","22,070"
한국카본,"42,400",상승 550,+1.31%,"1,033,748","44,862","22,009"
현대위아,"80,900","하락 1,700",-2.06%,"92,618","7,547","22,001"
BGF리테일,"125,000","상승 2,100",+1.71%,"29,940","3,709","21,605"
코스맥스,"188,800","하락 7,500",-3.82%,"47,359","9,061","21,428"
아모레퍼시픽홀딩스,"27,850",하락 500,-1.76%,"96,300","2,709","21,294"
미스토홀딩스,"39,950","하락 2,250",-5.33%,"147,994","5,939","21,210"
현대백화점,"83,800","하락 3,000",-3.46%,"73,495","6,201","18,963"
대웅제약,"161,200","상승 1,800",+1.13%,"26,955","4,371","18,678"
한국콜마,"77,000","하락 2,600",-3.27%,"157,589","12,258","18,176"
동원산업,"39,650",하락 350,-0.87%,"31,288","1,247","17,505"
GS리테일,"20,850",상승 250,+1.21%,"151,152","3,172","17,432"
금호타이어,"6,040",하락 180,-2.89%,"278,609","1,699","17,351"
녹십자,"148,000","하락 1,000",-0.67%,"32,524","4,862","17,296"
SK아이이테크놀로지,"21,050","하락 1,050",-4.75%,"153,574","3,279","17,216"
효성티앤씨,"389,000","상승 4,000",+1.04%,"34,967","13,791","16,835"
호텔신라,"41,750",하락 950,-2.22%,"155,004","6,497","16,386"
오리온홀딩스,"25,450",상승 600,+2.41%,"303,850","7,684","15,943"
파라다이스,"17,000",상승 30,+0.18%,"530,323","9,145","15,747"
오뚜기,"362,000","하락 8,500",-2.29%,"4,586","1,670","14,508"
대웅,"24,250",하락 50,-0.21%,"96,029","2,386","14,099"
롯데정밀화학,"51,300",상승 700,+1.38%,"75,642","3,914","13,235"
태광산업,"1,168,000","하락 43,000",-3.55%,"1,896","2,252","13,005"
종근당,"90,800","상승 1,000",+1.11%,"47,881","4,435","12,533"
DL,"59,300","상승 1,100",+1.89%,"133,304","7,985","12,427"
한일시멘트,"16,610",하락 400,-2.35%,"95,847","1,598","12,216"
하이트진로,"16,530",하락 130,-0.78%,"110,392","1,827","11,593"
영풍,"60,900","하락 1,900",-3.03%,"44,025","2,711","11,009"
롯데칠성,"117,000","하락 2,900",-2.42%,"19,076","2,246","10,856"
더블유게임즈,"50,000",하락 200,-0.40%,"28,420","1,425","10,587"
롯데웰푸드,"113,700","하락 1,100",-0.96%,"20,975","2,391","10,579"
지역난방공사,"90,000","하락 1,200",-1.32%,"52,633","4,767","10,421"
한샘,"42,650",하락 950,-2.18%,"14,145",608,"10,037"
HS효성첨단소재,"219,500","하락 5,000",-2.23%,"10,107","2,258","9,833"
에스디바이오센서,"7,930",보합 0,0.00%,"81,067",647,"9,655"
SK케미칼,"54,200","하락 2,000",-3.56%,"43,206","2,383","9,376"
대한유화,"137,400","상승 1,700",+1.25%,"68,921","9,531","8,931"
세방전지,"60,100","하락 1,300",-2.12%,"20,691","1,251","8,330"
세아제강지주,"192,300","상승 5,500",+2.94%,"49,657","9,396","7,964"
후성,"7,210",하락 130,-1.77%,"353,201","2,591","7,733"
동원시스템즈,"26,200",하락 450,-1.69%,"30,662",807,"7,596"
TKG휴켐스,"18,390",하락 270,-1.45%,"53,668",993,"7,518"
GKL,"11,760",하락 240,-2.00%,"223,084","2,651","7,274"
대상,"20,700",하락 350,-1.66%,"117,983","2,453","7,172"
녹십자홀딩스,"14,100",하락 30,-0.21%,"96,140","1,362","6,631"
미원상사,"136,400",하락 200,-0.15%,"2,448",333,"6,479"
미원에스씨,"124,400","하락 4,100",-3.19%,"2,747",344,"6,220"
율촌화학,"23,650",하락 50,-0.21%,"87,538","2,096","5,865"
아세아,"278,000",하락 500,-0.18%,"1,948",535,"5,762"
코스모화학,"14,990",하락 200,-1.32%,"180,863","2,747","5,757"
