종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
유한양행,"100,400","상승1,500",+1.52%,"61,295","6,159","79,966"
한화솔루션,"44,550",하락450,-1.00%,"735,499","33,459","76,578"
SK바이오팜,"97,600",상승400,+0.41%,"31,752","3,112","76,434"
LG이노텍,"314,000","상승1,000",+0.32%,"57,745","18,260","74,315"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
카카오페이,"53,300",하락700,-1.30%,"79,263","4,259","72,075"
한국타이어앤테크놀로지,"57,600",하락500,-0.86%,"42,189","2,447","71,352"
한미약품,"550,000","상승9,000",+1.66%,"18,606","10,195","70,460"
LG유플러스,"15,760",상승160,+1.03%,"78,125","1,225","67,741"
대우건설,"15,960",하락450,-2.74%,"5,562,867","88,979","66,333"
삼성E&A,"32,750",하락950,-2.82%,"521,516","17,228","64,190"
GS,"69,000","하락1,200",-1.71%,"26,749","1,854","64,112"
삼성카드,"55,100","하락1,300",-2.30%,"25,301","1,403","63,838"
한전기술,"166,100","하락2,700",-1.60%,"30,056","5,014","63,483"
CJ,"209,500",하락500,-0.24%,"10,614","2,228","61,126"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
LG씨엔에스,"61,900",하락600,-0.96%,"75,686","4,719","59,972"
두산밥캣,"61,600",하락100,-0.16%,"36,704","2,258","59,047"
LG디스플레이,"11,620",하락130,-1.11%,"573,877","6,708","58,100"
엘앤에프,"143,900","하락1,400",-0.96%,"247,130","35,490","58,023"
BNK금융지주,"18,600",상승150,+0.81%,"65,105","1,205","57,721"
두산로보틱스,"87,200","하락1,600",-1.80%,"24,740","2,163","56,523"
JB금융지주,"29,750",상승100,+0.34%,"39,917","1,187","56,005"
대한전선,"29,900",하락400,-1.32%,"508,550","15,430","55,748"
산일전기,"174,600","상승8,800",+5.31%,"286,779","50,247","53,332"
오리온,"133,000","하락1,100",-0.82%,"14,696","1,951","52,583"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
코웨이,"73,500",하락600,-0.81%,"23,357","1,723","52,014"
에코프로머티,"71,100",상승700,+0.99%,"390,052","27,604","50,167"
엔씨소프트,"226,000","하락1,500",-0.66%,"18,452","4,218","48,689"
포스코DX,"31,300",하락200,-0.63%,"41,247","1,299","47,587"
현대제철,"35,600",하락100,-0.28%,"78,273","2,776","47,507"
KCC,"524,000","하락9,000",-1.69%,"1,838",966,"46,565"
