종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,"183,200","하락 5,800",-3.07%,"9,601,556","1,770,318","10,844,777"
SK하이닉스,"956,000","하락 39,000",-3.92%,"1,237,720","1,191,579","6,813,435"
현대차,"494,500","하락 6,500",-1.30%,"240,134","118,871","1,012,527"
LG에너지솔루션,"385,500","하락 8,500",-2.16%,"66,477","25,925","902,070"
SK스퀘어,"574,000","하락 31,000",-5.12%,"163,710","95,091","758,180"
삼성바이오로직스,"1,593,000","상승 8,000",+0.50%,"7,464","11,954","737,415"
한화에어로스페이스,"1,406,000","상승 6,000",+0.43%,"48,177","67,849","724,981"
두산에너빌리티,"102,300",하락 300,-0.29%,"715,776","73,401","655,294"
기아,"156,150","하락 1,750",-1.11%,"240,972","37,552","609,630"
KB금융,"151,950","상승 2,550",+1.71%,"277,698","42,004","566,546"
HD현대중공업,"523,000",보합 0,0.00%,"50,545","26,426","548,947"
삼성물산,"285,000","하락 4,000",-1.38%,"83,225","23,936","484,433"
셀트리온,"204,500","상승 1,000",+0.49%,"127,647","26,234","472,494"
삼성생명,"225,500","하락 2,000",-0.88%,"47,588","10,765","451,000"
신한지주,"93,600","상승 1,500",+1.63%,"212,623","19,828","444,276"
한화오션,"127,900","상승 3,200",+2.57%,"403,575","51,878","391,903"
미래에셋증권,"67,700",상승 400,+0.59%,"1,658,788","112,421","375,949"
현대모비스,"397,500","하락 4,500",-1.12%,"49,198","19,581","360,662"
HD현대일렉트릭,"980,000","하락 12,000",-1.21%,"25,815","25,547","353,262"
삼성전기,"456,000","상승 1,500",+0.33%,"186,428","85,576","340,603"
NAVER,"215,500",보합 0,0.00%,"95,399","20,597","338,017"
고려아연,"1,563,000","하락 30,000",-1.88%,"3,535","5,560","326,244"
삼성SDI,"404,500",상승 500,+0.12%,"151,590","61,775","325,968"
하나금융지주,"109,100",상승 400,+0.37%,"172,031","18,767","303,653"
한국전력,"46,250",하락 200,-0.43%,"459,827","21,189","296,908"
POSCO홀딩스,"346,500","상승 4,500",+1.32%,"95,494","33,196","280,433"
한미반도체,"293,000","하락 7,000",-2.33%,"137,006","40,271","279,265"
효성중공업,"2,911,000","하락 79,000",-2.64%,"14,197","42,317","271,438"
HD한국조선해양,"382,000","하락 3,000",-0.78%,"50,247","19,336","270,353"
한화시스템,"135,000","하락 1,600",-1.17%,"351,423","47,499","255,041"
LS ELECTRIC,"845,000","상승 1,000",+0.12%,"23,298","19,819","253,500"
SK,"348,000","상승 2,000",+0.58%,"35,793","12,460","252,309"
우리금융지주,"33,050",상승 50,+0.15%,"201,459","6,652","242,612"
삼성중공업,"26,950",상승 100,+0.37%,"949,065","25,790","237,160"
LG화학,"318,500",상승 500,+0.16%,"52,171","16,731","224,837"
카카오,"49,200",상승 150,+0.31%,"284,900","14,041","217,841"
HD현대,"271,500","상승 6,500",+2.45%,"29,863","8,031","214,466"
삼성화재,"460,000","하락 30,000",-6.12%,"33,578","15,666","211,651"
현대로템,"192,400","상승 1,700",+0.89%,"226,218","43,301","209,990"
두산,"1,244,000","하락 6,000",-0.48%,"14,237","17,768","201,451"
메리츠금융지주,"115,400","상승 4,000",+3.59%,"69,590","7,947","195,027"
SK이노베이션,"111,700","하락 2,400",-2.10%,"70,402","7,918","188,832"
HMM,"19,830",하락 100,-0.50%,"443,324","8,842","187,044"
기업은행,"23,450",상승 50,+0.21%,"152,587","3,580","186,996"
LG전자,"113,900",하락 800,-0.70%,"117,826","13,447","185,528"
포스코퓨처엠,"206,500","상승 4,000",+1.98%,"111,953","23,211","183,674"
한국항공우주,"188,200","상승 3,200",+1.73%,"261,014","49,022","183,448"
KT&G,"156,400",상승 500,+0.32%,"40,026","6,293","179,354"
SK텔레콤,"80,600",상승 800,+1.00%,"205,210","16,553","173,121"
현대글로비스,"229,500",보합 0,0.00%,"21,048","4,827","172,125"
현대건설,"154,400","하락 3,500",-2.22%,"235,569","36,670","171,933"
LIG넥스원,"745,000","상승 11,000",+1.50%,"165,076","123,563","163,900"
KT,"60,600",상승 500,+0.83%,"61,569","3,724","152,725"
LG,"88,500",하락 300,-0.34%,"64,856","5,716","136,486"
하이브,"312,000","상승 7,500",+2.46%,"117,397","36,009","134,372"
삼성에피스홀딩스,"539,000","하락 1,000",-0.19%,"14,505","7,954","134,120"
포스코인터내셔널,"75,900",상승 100,+0.13%,"113,524","8,551","133,525"
S-Oil,"112,200","하락 1,100",-0.97%,"66,132","7,439","126,318"
DB손해보험,"179,000","하락 15,700",-8.06%,"64,935","11,856","124,197"
에이피알,"328,500",보합 0,0.00%,"84,409","27,711","122,984"
삼성에스디에스,"159,000",하락 500,-0.31%,"17,265","2,747","123,031"
한국금융지주,"220,000",하락 500,-0.23%,"42,838","9,353","122,597"
NH투자증권,"33,900",하락 400,-1.17%,"164,490","5,591","120,801"
카카오뱅크,"24,600",상승 50,+0.20%,"121,165","2,966","117,353"
크래프톤,"245,000","상승 4,500",+1.87%,"31,470","7,686","116,145"
키움증권,"432,000",보합 0,0.00%,"18,288","7,822","113,234"
현대오토에버,"398,000","하락 7,500",-1.85%,"18,266","7,290","109,147"
대한항공,"25,150",하락 250,-0.98%,"298,067","7,484","92,607"
삼양식품,"1,220,000","상승 4,000",+0.33%,"9,280","11,349","91,903"
한화,"120,800","상승 4,100",+3.51%,"62,074","7,392","90,550"
LS,"285,000","상승 1,500",+0.53%,"37,832","10,837","88,920"
삼성증권,"97,500",하락 300,-0.31%,"48,366","4,702","87,068"
이수페타시스,"118,200","하락 2,100",-1.75%,"269,515","31,918","86,770"
한진칼,"123,200","하락 3,500",-2.76%,"25,520","3,148","82,251"
아모레퍼시픽,"138,000","상승 1,200",+0.88%,"26,178","3,594","80,720"
HD현대마린솔루션,"179,700","하락 1,700",-0.94%,"12,480","2,257","80,562"
유한양행,"100,100","상승 1,200",+1.21%,"74,211","7,454","79,727"
한화솔루션,"44,550",하락 450,-1.00%,"844,186","38,311","76,578"
SK바이오팜,"96,600",하락 600,-0.62%,"51,419","5,022","75,651"
LG이노텍,"311,500","하락 1,500",-0.48%,"74,612","23,512","73,723"
카카오페이,"53,300",하락 700,-1.30%,"112,776","6,044","72,075"
한미약품,"562,000","상승 21,000",+3.88%,"29,235","16,134","71,998"
한국타이어앤테크놀로지,"57,600",하락 500,-0.86%,"57,167","3,312","71,352"
LG유플러스,"15,890",상승 290,+1.86%,"151,115","2,382","68,300"
대우건설,"16,200",하락 210,-1.28%,"7,222,653","115,824","67,331"
삼성E&A,"32,600","하락 1,100",-3.26%,"697,240","22,971","63,896"
GS,"68,700","하락 1,500",-2.14%,"39,229","2,716","63,833"
삼성카드,"54,700","하락 1,700",-3.01%,"33,947","1,878","63,375"
한전기술,"165,700","하락 3,100",-1.84%,"38,882","6,480","63,331"
CJ,"210,000",보합 0,0.00%,"14,185","2,979","61,272"
LG씨엔에스,"62,100",하락 400,-0.64%,"105,236","6,550","60,166"
두산밥캣,"61,600",하락 100,-0.16%,"51,247","3,155","59,047"
엘앤에프,"145,300",보합 0,0.00%,"394,475","57,027","58,588"
LG디스플레이,"11,710",하락 40,-0.34%,"697,461","8,149","58,550"
BNK금융지주,"18,600",상승 150,+0.81%,"99,931","1,854","57,721"
JB금융지주,"30,050",상승 400,+1.35%,"55,697","1,663","56,570"
두산로보틱스,"87,100","하락 1,700",-1.91%,"32,451","2,835","56,458"
대한전선,"29,750",하락 550,-1.82%,"636,905","19,268","55,468"
산일전기,"173,600","상승 7,800",+4.70%,"334,906","58,640","53,026"
오리온,"133,300",하락 800,-0.60%,"22,069","2,933","52,702"
코웨이,"73,300",하락 800,-1.08%,"37,794","2,782","51,873"
에코프로머티,"71,900","상승 1,500",+2.13%,"668,984","47,612","50,732"
엔씨소프트,"224,500","하락 3,000",-1.32%,"24,146","5,501","48,366"
포스코DX,"31,250",하락 250,-0.79%,"54,357","1,710","47,511"
현대제철,"35,400",하락 300,-0.84%,"117,874","4,184","47,240"
KCC,"524,000","하락 9,000",-1.69%,"2,873","1,509","46,565"
한화엔진,"51,600","상승 2,850",+5.85%,"562,147","29,218","43,059"
넷마블,"52,000",상승 600,+1.17%,"57,108","2,994","42,619"
한화생명,"4,865",하락 105,-2.11%,"1,858,005","9,080","42,254"
