종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
한온시스템,"3,940",하락 115,-2.84%,"2,152,334","8,541","40,435"
강원랜드,"18,120",하락 20,-0.11%,"106,274","1,927","38,766"
SKC,"100,600","하락 1,500",-1.47%,"27,189","2,745","38,096"
LG생활건강,"244,000","하락 2,500",-1.01%,"7,235","1,763","37,338"
영원무역,"83,000","상승 1,200",+1.47%,"10,042",823,"36,779"
OCI홀딩스,"188,300","상승 5,500",+3.01%,"107,349","20,694","35,156"
현대엘리베이터,"87,400",하락 600,-0.68%,"22,828","1,999","34,167"
롯데케미칼,"79,500",하락 300,-0.38%,"37,683","3,007","34,006"
SK바이오사이언스,"43,350",상승 550,+1.29%,"18,739",813,"34,001"
금호석유화학,"128,500","하락 1,500",-1.15%,"9,401","1,215","33,451"
한올바이오파마,"63,800","상승 5,900",+10.19%,"506,307","31,305","33,330"
한국가스공사,"36,025",상승 25,+0.07%,"31,484","1,133","33,256"
에스원,"87,200",상승 300,+0.35%,"9,032",790,"33,135"
CJ제일제당,"218,500",하락 500,-0.23%,"6,416","1,396","32,893"
한솔케미칼,"287,000","상승 4,500",+1.59%,"13,066","3,757","32,632"
롯데쇼핑,"115,000","상승 3,700",+3.32%,"34,441","3,930","32,532"
신세계,"334,000","하락 3,000",-0.89%,"3,784","1,263","32,215"
롯데지주,"30,550",하락 550,-1.77%,"57,289","1,755","32,050"
영원무역홀딩스,"223,000","상승 2,500",+1.13%,"2,923",646,"30,103"
이수스페셜티케미컬,"93,900","상승 2,900",+3.19%,"139,839","13,177","28,376"
에스엘,"59,700","하락 1,300",-2.13%,"21,068","1,259","27,730"
HD현대마린엔진,"81,700","상승 4,200",+5.42%,"321,291","26,406","27,714"
현대해상,"30,950","하락 1,200",-3.73%,"142,348","4,457","27,669"
한전KPS,"61,200","하락 1,600",-2.55%,"55,881","3,442","27,540"
iM금융지주,"17,000",상승 20,+0.12%,"49,042",835,"27,306"
이마트,"97,600",하락 900,-0.91%,"43,673","4,261","26,934"
풍산,"96,100","하락 2,100",-2.14%,"58,345","5,636","26,931"
동서,"27,000",하락 200,-0.74%,"16,412",443,"26,919"
팬오션,"5,020",하락 60,-1.18%,"454,356","2,291","26,835"
씨에스윈드,"62,500",하락 800,-1.26%,"216,891","13,715","26,357"
한미사이언스,"38,350",상승 650,+1.72%,"28,426","1,085","26,228"
DL이앤씨,"66,500","하락 2,800",-4.04%,"691,527","46,542","25,731"
한국앤컴퍼니,"26,750",하락 850,-3.08%,"18,917",509,"25,395"
CJ대한통운,"110,400","하락 1,700",-1.52%,"5,525",613,"25,185"
세아베스틸지주,"70,000","하락 2,500",-3.45%,"95,315","6,765","25,103"
HL만도,"51,800",하락 600,-1.15%,"44,482","2,310","24,324"
F&F,"61,500","하락 1,300",-2.07%,"16,387","1,012","23,559"
제일기획,"20,025",하락 25,-0.12%,"60,788","1,219","23,037"
DN오토모티브,"39,200",보합 0,0.00%,"44,932","1,763","22,936"
농심,"375,000","하락 3,500",-0.92%,"4,133","1,549","22,810"
GS건설,"26,600",하락 800,-2.92%,"678,299","18,032","22,765"
한국카본,"43,200","상승 1,350",+3.23%,"609,692","26,716","22,424"
현대위아,"82,200",하락 400,-0.48%,"17,887","1,469","22,354"
코오롱인더,"80,200","상승 1,400",+1.78%,"137,908","11,121","22,070"
코스맥스,"193,100","하락 3,200",-1.63%,"9,620","1,874","21,916"
아모레퍼시픽홀딩스,"28,050",하락 300,-1.06%,"22,794",639,"21,447"
미스토홀딩스,"40,150","하락 2,050",-4.86%,"36,738","1,483","21,316"
BGF리테일,"123,000",상승 100,+0.08%,"6,938",851,"21,259"
현대백화점,"84,100","하락 2,700",-3.11%,"16,053","1,363","19,031"
대웅제약,"163,400","상승 4,000",+2.51%,"8,774","1,424","18,932"
한국콜마,"78,200","하락 1,400",-1.76%,"41,350","3,245","18,459"
SK아이이테크놀로지,"21,625",하락 475,-2.15%,"34,098",742,"17,686"
동원산업,"39,950",하락 50,-0.12%,"8,183",327,"17,637"
녹십자,"150,200","상승 1,200",+0.81%,"8,886","1,334","17,553"
금호타이어,"6,100",하락 120,-1.93%,"82,766",505,"17,523"
GS리테일,"20,800",상승 200,+0.97%,"23,024",477,"17,390"
효성티앤씨,"393,500","상승 8,500",+2.21%,"10,877","4,293","17,029"
호텔신라,"42,100",하락 600,-1.41%,"45,248","1,906","16,523"
파라다이스,"17,340",상승 370,+2.18%,"188,640","3,259","16,062"
오리온홀딩스,"24,850",보합 0,0.00%,"24,820",617,"15,567"
대웅,"25,200",상승 900,+3.70%,"33,804",843,"14,652"
오뚜기,"365,500","하락 5,000",-1.35%,"1,162",424,"14,649"
태광산업,"1,196,000","하락 15,000",-1.24%,517,617,"13,316"
롯데정밀화학,"51,600","상승 1,000",+1.98%,"15,814",813,"13,313"
종근당,"93,400","상승 3,600",+4.01%,"18,272","1,681","12,892"
DL,"60,200","상승 2,000",+3.44%,"59,200","3,568","12,615"
한일시멘트,"16,770",하락 240,-1.41%,"20,904",352,"12,334"
하이트진로,"16,550",하락 110,-0.66%,"46,718",773,"11,607"
영풍,"61,700","하락 1,100",-1.75%,"12,614",779,"11,154"
롯데칠성,"118,600","하락 1,300",-1.08%,"3,089",367,"11,005"
롯데웰푸드,"113,700","하락 1,100",-0.96%,"3,389",386,"10,579"
더블유게임즈,"50,000",하락 200,-0.40%,"5,094",255,"10,587"
지역난방공사,"91,400",상승 200,+0.22%,"11,397","1,040","10,583"
한샘,"43,450",하락 150,-0.34%,"4,125",178,"10,225"
HS효성첨단소재,"221,500","하락 3,000",-1.34%,"2,003",447,"9,923"
에스디바이오센서,"8,070",상승 140,+1.77%,"26,454",212,"9,825"
SK케미칼,"55,500",하락 700,-1.25%,"9,500",533,"9,601"
대한유화,"133,700","하락 2,000",-1.47%,"6,551",882,"8,690"
세방전지,"60,500",하락 900,-1.47%,"4,538",275,"8,385"
후성,"7,460",상승 120,+1.63%,"125,148",925,"8,001"
세아제강지주,"185,800","하락 1,000",-0.54%,"15,456","2,907","7,695"
동원시스템즈,"26,400",하락 250,-0.94%,"12,598",331,"7,654"
TKG휴켐스,"18,480",하락 180,-0.96%,"14,011",259,"7,554"
GKL,"11,980",하락 20,-0.17%,"44,390",530,"7,410"
대상,"20,950",하락 100,-0.48%,"34,288",718,"7,259"
녹십자홀딩스,"14,130",보합 0,0.00%,"25,699",365,"6,645"
미원상사,"135,900",하락 700,-0.51%,"1,509",206,"6,455"
미원에스씨,"126,100","하락 2,400",-1.87%,"1,957",245,"6,305"
율촌화학,"23,850",상승 150,+0.63%,"27,819",662,"5,915"
코스모화학,"15,280",상승 90,+0.59%,"66,089","1,010","5,869"
아세아,"273,000","하락 5,500",-1.97%,389,106,"5,658"
